PROBEID	ENTREZID	SYMBOL	GENENAME
1552717_s_at	9859	CEP170	centrosomal protein 170
1552718_at	92675	DTD1	D-aminoacyl-tRNA deacylase 1
1552719_at	113201	GOLM2	golgi membrane protein 2
1552721_a_at	2246	FGF1	fibroblast growth factor 1
1552722_at	10777	ARPP21	cAMP regulated phosphoprotein 21
1552724_at	158800	RHOXF1	Rhox homeobox family member 1
1552725_s_at	170691	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17
1552726_at	170691	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17
1552727_s_at	170691	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17
1552729_at	84973	SNHG7	small nucleolar RNA host gene 7
1552730_at	50846	DHH	desert hedgehog signaling molecule
1552731_at	137735	ABRA	actin binding Rho activating protein
1552732_at	137735	ABRA	actin binding Rho activating protein
1552733_at	122773	KLHDC1	kelch domain containing 1
1552734_at	253260	RICTOR	RPTOR independent companion of MTOR complex 2
1552735_at	56111	PCDHGA4	protocadherin gamma subfamily A, 4
1552736_a_at	81832	NETO1	neuropilin and tolloid like 1
1552737_s_at	11060	WWP2	WW domain containing E3 ubiquitin protein ligase 2
1552738_a_at	54879	ST7L	suppression of tumorigenicity 7 like
1552739_s_at	54879	ST7L	suppression of tumorigenicity 7 like
1552740_at	150590	C2orf15	chromosome 2 open reading frame 15
1552742_at	131096	KCNH8	potassium voltage-gated channel subfamily H member 8
1552743_at	23263	MCF2L	MCF.2 cell line derived transforming sequence like
1552745_at	133482	SLCO6A1	solute carrier organic anion transporter family member 6A1
1552747_a_at	151649	PP2D1	protein phosphatase 2C like domain containing 1
1552749_a_at	147700	KLC3	kinesin light chain 3
1552750_at	117286	CIB3	calcium and integrin binding family member 3
1552751_a_at	117286	CIB3	calcium and integrin binding family member 3
1552752_a_at	253559	CADM2	cell adhesion molecule 2
1552754_a_at	253559	CADM2	cell adhesion molecule 2
